from_player,to_player,assists,assist_points
Keldon Johnson,Keldon Johnson,0,0
Keldon Johnson,Charles Bassey,8,16
Keldon Johnson,Devin Vassell,17,42
Keldon Johnson,Tre Jones,4,10
Keldon Johnson,David Duke Jr.,0,0
Keldon Johnson,Sandro Mamukelashvili,6,15
Keldon Johnson,Julian Champagnie,25,69
Keldon Johnson,Malaki Branham,3,9
Keldon Johnson,Blake Wesley,5,12
Keldon Johnson,Jeremy Sochan,19,42
Keldon Johnson,Harrison Ingram,0,0
Keldon Johnson,Sidy Cissoko,0,0
Keldon Johnson,Victor Wembanyama,6,16
Keldon Johnson,Stephon Castle,15,35
Charles Bassey,Chris Paul,0,0
Charles Bassey,Bismack Biyombo,0,0
Charles Bassey,Harrison Barnes,1,3
Charles Bassey,De'Aaron Fox,0,0
Charles Bassey,Zach Collins,0,0
Charles Bassey,Jordan McLaughlin,0,0
Charles Bassey,Keldon Johnson,4,9
Charles Bassey,Charles Bassey,0,0
Charles Bassey,Devin Vassell,3,6
Charles Bassey,Tre Jones,0,0
Charles Bassey,David Duke Jr.,1,2
Charles Bassey,Sandro Mamukelashvili,2,5
Charles Bassey,Julian Champagnie,3,8
Charles Bassey,Malaki Branham,1,2
Charles Bassey,Blake Wesley,1,2
Charles Bassey,Jeremy Sochan,0,0
Charles Bassey,Harrison Ingram,0,0
Charles Bassey,Sidy Cissoko,0,0
Charles Bassey,Victor Wembanyama,0,0
Charles Bassey,Stephon Castle,1,2
Devin Vassell,Chris Paul,8,22
Devin Vassell,Bismack Biyombo,5,10
Devin Vassell,Harrison Barnes,25,67
Devin Vassell,De'Aaron Fox,9,22
Devin Vassell,Zach Collins,4,9
Devin Vassell,Jordan McLaughlin,0,0
Devin Vassell,Keldon Johnson,24,59
Devin Vassell,Charles Bassey,2,4
Devin Vassell,Devin Vassell,0,0
Devin Vassell,Tre Jones,2,5
Devin Vassell,David Duke Jr.,0,0
Devin Vassell,Sandro Mamukelashvili,4,10
Devin Vassell,Julian Champagnie,14,41
Devin Vassell,Malaki Branham,0,0
Devin Vassell,Blake Wesley,1,2
Devin Vassell,Jeremy Sochan,14,34
Devin Vassell,Harrison Ingram,0,0
Devin Vassell,Sidy Cissoko,0,0
Devin Vassell,Victor Wembanyama,43,97
Devin Vassell,Stephon Castle,28,65
Tre Jones,Chris Paul,1,3
Tre Jones,Bismack Biyombo,0,0
Tre Jones,Harrison Barnes,10,25
Tre Jones,De'Aaron Fox,0,0
Tre Jones,Zach Collins,0,0
Tre Jones,Jordan McLaughlin,0,0
Tre Jones,Keldon Johnson,27,65
Tre Jones,Charles Bassey,5,10
Tre Jones,Devin Vassell,13,37
Tre Jones,Tre Jones,0,0
Tre Jones,David Duke Jr.,0,0
Tre Jones,Sandro Mamukelashvili,1,3
Tre Jones,Julian Champagnie,15,43
Tre Jones,Malaki Branham,1,2
Tre Jones,Blake Wesley,1,2
Tre Jones,Jeremy Sochan,5,12
Tre Jones,Harrison Ingram,0,0
Tre Jones,Sidy Cissoko,0,0
Tre Jones,Victor Wembanyama,16,41
Tre Jones,Stephon Castle,9,22
David Duke Jr.,Chris Paul,0,0
David Duke Jr.,Bismack Biyombo,0,0
David Duke Jr.,Harrison Barnes,0,0
David Duke Jr.,De'Aaron Fox,0,0
David Duke Jr.,Zach Collins,0,0
David Duke Jr.,Jordan McLaughlin,1,2
David Duke Jr.,Keldon Johnson,0,0
David Duke Jr.,Charles Bassey,0,0
David Duke Jr.,Devin Vassell,0,0
David Duke Jr.,Tre Jones,0,0
David Duke Jr.,David Duke Jr.,0,0
David Duke Jr.,Sandro Mamukelashvili,1,2
David Duke Jr.,Julian Champagnie,0,0
David Duke Jr.,Malaki Branham,0,0
David Duke Jr.,Blake Wesley,1,2
David Duke Jr.,Jeremy Sochan,0,0
David Duke Jr.,Harrison Ingram,0,0
David Duke Jr.,Sidy Cissoko,1,3
David Duke Jr.,Victor Wembanyama,0,0
David Duke Jr.,Stephon Castle,0,0
Sandro Mamukelashvili,Chris Paul,4,10
Sandro Mamukelashvili,Bismack Biyombo,1,2
Sandro Mamukelashvili,Harrison Barnes,3,7
Sandro Mamukelashvili,De'Aaron Fox,2,5
Sandro Mamukelashvili,Zach Collins,0,0
Sandro Mamukelashvili,Jordan McLaughlin,1,3
Sandro Mamukelashvili,Keldon Johnson,8,18
Sandro Mamukelashvili,Charles Bassey,1,2
Sandro Mamukelashvili,Devin Vassell,0,0
Sandro Mamukelashvili,Tre Jones,0,0
Sandro Mamukelashvili,David Duke Jr.,0,0
Sandro Mamukelashvili,Sandro Mamukelashvili,0,0
Sandro Mamukelashvili,Julian Champagnie,9,25
Sandro Mamukelashvili,Malaki Branham,2,6
Sandro Mamukelashvili,Blake Wesley,4,9
Sandro Mamukelashvili,Jeremy Sochan,2,5
Sandro Mamukelashvili,Harrison Ingram,0,0
Sandro Mamukelashvili,Sidy Cissoko,1,2
Sandro Mamukelashvili,Victor Wembanyama,6,13
Sandro Mamukelashvili,Stephon Castle,4,12
Julian Champagnie,Chris Paul,4,12
Julian Champagnie,Bismack Biyombo,3,6
Julian Champagnie,Harrison Barnes,9,21
Julian Champagnie,De'Aaron Fox,2,4
Julian Champagnie,Zach Collins,5,11
Julian Champagnie,Jordan McLaughlin,0,0
